size: 80, edges: 5688, time: 33 
size: 80, edges: 3160, time: 48 
size: 80, edges: 2528, time: 40 
size: 80, edges: 1896, time: 33 
size: 80, edges: 0, time: 0 
size: 80, edges: 1896, time: 36 
size: 80, edges: 2528, time: 40 
size: 80, edges: 3792, time: 41 
size: 80, edges: 1896, time: 38 
size: 80, edges: 0, time: 0 
size: 80, edges: 5056, time: 32 
size: 80, edges: 6320, time: 27 
size: 80, edges: 632, time: 24 
size: 80, edges: 0, time: 0 
size: 80, edges: 5056, time: 32 
size: 80, edges: 4424, time: 35 
size: 80, edges: 632, time: 30 
size: 80, edges: 5056, time: 33 
size: 80, edges: 3160, time: 48 
size: 80, edges: 2528, time: 42 
size: 80, edges: 3160, time: 44 
size: 80, edges: 3792, time: 42 
size: 80, edges: 4424, time: 36 
size: 80, edges: 2528, time: 41 
size: 80, edges: 4424, time: 36 
size: 80, edges: 1896, time: 35 
size: 80, edges: 0, time: 0 
size: 80, edges: 2528, time: 41 
size: 80, edges: 1264, time: 42 
size: 80, edges: 1264, time: 30 
size: 80, edges: 3792, time: 40 
size: 80, edges: 3160, time: 52 
size: 80, edges: 1896, time: 34 
size: 80, edges: 5056, time: 32 
size: 80, edges: 0, time: 0 
size: 80, edges: 1264, time: 35 
size: 80, edges: 2528, time: 40 
size: 80, edges: 632, time: 27 
size: 80, edges: 5056, time: 31 
size: 80, edges: 3792, time: 44 
size: 80, edges: 4424, time: 36 
size: 80, edges: 1264, time: 26 
size: 80, edges: 4424, time: 41 
size: 80, edges: 632, time: 31 
size: 80, edges: 5688, time: 30 
size: 80, edges: 5688, time: 29 
size: 80, edges: 632, time: 30 
size: 80, edges: 1264, time: 32 
size: 80, edges: 632, time: 24 
size: 80, edges: 1264, time: 30 
size: 80, edges: 0, time: 0 
size: 80, edges: 5688, time: 30 
size: 80, edges: 4424, time: 36 
size: 80, edges: 3160, time: 46 
size: 80, edges: 3792, time: 41 
size: 80, edges: 1264, time: 28 
size: 80, edges: 5056, time: 34 
size: 80, edges: 632, time: 33 
size: 80, edges: 4424, time: 36 
size: 80, edges: 6320, time: 27 
size: 80, edges: 4424, time: 37 
size: 80, edges: 3792, time: 40 
size: 80, edges: 2528, time: 50 
size: 80, edges: 632, time: 21 
size: 80, edges: 0, time: 0 
size: 80, edges: 6320, time: 27 
size: 80, edges: 5056, time: 34 
size: 80, edges: 6320, time: 27 
size: 80, edges: 5056, time: 33 
size: 80, edges: 2528, time: 40 
size: 80, edges: 1264, time: 36 
size: 80, edges: 5688, time: 30 
size: 80, edges: 1896, time: 34 
size: 80, edges: 5688, time: 30 
size: 80, edges: 3160, time: 47 
size: 80, edges: 3160, time: 45 
size: 80, edges: 4424, time: 35 
size: 80, edges: 6320, time: 27 
size: 80, edges: 632, time: 25 
size: 80, edges: 2528, time: 39 
size: 80, edges: 5688, time: 30 
size: 80, edges: 5688, time: 29 
size: 80, edges: 3792, time: 40 
size: 80, edges: 0, time: 0 
size: 80, edges: 6320, time: 27 
size: 80, edges: 1896, time: 52 
size: 80, edges: 3160, time: 46 
size: 80, edges: 1896, time: 36 
size: 80, edges: 5056, time: 32 
size: 80, edges: 0, time: 0 
size: 80, edges: 3160, time: 46 
size: 80, edges: 2528, time: 39 
size: 80, edges: 1896, time: 37 
size: 80, edges: 6320, time: 27 
size: 80, edges: 1896, time: 42 
size: 80, edges: 632, time: 21 
size: 80, edges: 5056, time: 34 
size: 80, edges: 4424, time: 36 
size: 80, edges: 3792, time: 42 
size: 80, edges: 5688, time: 29 
size: 80, edges: 6320, time: 27 
size: 80, edges: 1264, time: 28 
size: 80, edges: 5688, time: 29 
size: 80, edges: 3160, time: 50 
size: 80, edges: 1264, time: 31 
size: 80, edges: 6320, time: 27 
size: 80, edges: 3792, time: 44 
size: 80, edges: 3792, time: 42 
size: 80, edges: 6320, time: 27 
size: 80, edges: 0, time: 0 
