size: 120, edges: 14280, time: 62 
size: 160, edges: 25440, time: 104 
size: 360, edges: 129240, time: 517 
size: 120, edges: 14280, time: 59 
size: 200, edges: 39800, time: 161 
size: 320, edges: 102080, time: 409 
size: 320, edges: 102080, time: 409 
size: 320, edges: 102080, time: 410 
size: 80, edges: 6320, time: 27 
size: 280, edges: 78120, time: 314 
size: 280, edges: 78120, time: 314 
size: 400, edges: 159600, time: 638 
size: 200, edges: 39800, time: 161 
size: 360, edges: 129240, time: 517 
size: 320, edges: 102080, time: 410 
size: 360, edges: 129240, time: 518 
size: 240, edges: 57360, time: 232 
size: 200, edges: 39800, time: 161 
size: 200, edges: 39800, time: 161 
size: 360, edges: 129240, time: 518 
size: 320, edges: 102080, time: 409 
size: 120, edges: 14280, time: 59 
size: 240, edges: 57360, time: 231 
size: 200, edges: 39800, time: 161 
size: 360, edges: 129240, time: 517 
size: 280, edges: 78120, time: 314 
size: 280, edges: 78120, time: 314 
size: 400, edges: 159600, time: 638 
size: 360, edges: 129240, time: 517 
size: 320, edges: 102080, time: 410 
size: 240, edges: 57360, time: 231 
size: 120, edges: 14280, time: 59 
size: 280, edges: 78120, time: 315 
size: 400, edges: 159600, time: 639 
size: 200, edges: 39800, time: 161 
size: 320, edges: 102080, time: 410 
size: 280, edges: 78120, time: 314 
size: 200, edges: 39800, time: 161 
size: 160, edges: 25440, time: 104 
size: 240, edges: 57360, time: 232 
size: 160, edges: 25440, time: 104 
size: 120, edges: 14280, time: 59 
size: 120, edges: 14280, time: 59 
size: 360, edges: 129240, time: 518 
size: 400, edges: 159600, time: 638 
size: 280, edges: 78120, time: 314 
size: 80, edges: 6320, time: 27 
size: 120, edges: 14280, time: 59 
size: 80, edges: 6320, time: 27 
size: 240, edges: 57360, time: 232 
size: 80, edges: 6320, time: 27 
size: 400, edges: 159600, time: 638 
size: 400, edges: 159600, time: 638 
size: 120, edges: 14280, time: 59 
size: 320, edges: 102080, time: 409 
size: 160, edges: 25440, time: 104 
size: 360, edges: 129240, time: 517 
size: 120, edges: 14280, time: 59 
size: 160, edges: 25440, time: 104 
size: 200, edges: 39800, time: 162 
size: 320, edges: 102080, time: 410 
size: 160, edges: 25440, time: 104 
size: 400, edges: 159600, time: 639 
size: 80, edges: 6320, time: 27 
size: 400, edges: 159600, time: 638 
size: 160, edges: 25440, time: 104 
size: 240, edges: 57360, time: 232 
size: 240, edges: 57360, time: 231 
size: 160, edges: 25440, time: 104 
size: 240, edges: 57360, time: 231 
size: 360, edges: 129240, time: 518 
size: 240, edges: 57360, time: 231 
size: 320, edges: 102080, time: 409 
size: 80, edges: 6320, time: 27 
size: 200, edges: 39800, time: 161 
size: 400, edges: 159600, time: 638 
size: 280, edges: 78120, time: 314 
size: 80, edges: 6320, time: 27 
size: 280, edges: 78120, time: 314 
size: 160, edges: 25440, time: 104 
size: 160, edges: 25440, time: 104 
size: 400, edges: 159600, time: 638 
size: 80, edges: 6320, time: 27 
size: 280, edges: 78120, time: 314 
size: 200, edges: 39800, time: 161 
size: 240, edges: 57360, time: 232 
size: 80, edges: 6320, time: 27 
size: 120, edges: 14280, time: 59 
size: 360, edges: 129240, time: 517 
size: 80, edges: 6320, time: 27 
